,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
44,42,CASH_OUT,452453.58,C669940685,1032.0,0.0,C1120989508,9153945.13,9606398.72,0,0
45,544,CASH_OUT,69689.05,C1647156439,0.0,0.0,C1202756525,219991.53,289680.57,0,0
46,141,CASH_OUT,352683.78,C1397441776,0.0,0.0,C524722860,2693333.43,3046017.21,0,0
47,394,CASH_OUT,140393.23,C1346187454,0.0,0.0,C1285448790,188716.52,329109.75,0,0
48,375,CASH_OUT,146060.46,C1241326363,10703.0,0.0,C117426647,0.0,146060.46,0,0
49,17,CASH_OUT,61062.13,C762267011,14404.0,0.0,C966243213,1049016.22,1202468.64,0,0
50,232,CASH_OUT,350453.78,C1455666913,168306.35,0.0,C1561741037,369819.87,720273.65,0,0
51,210,CASH_OUT,62491.88,C457202884,1053.0,0.0,C615138721,0.0,62491.88,0,0
52,334,TRANSFER,350827.55,C859700016,30862.0,0.0,C678838515,0.0,350827.55,0,0
53,159,CASH_OUT,127371.2,C290931788,32257.0,0.0,C1482455618,5105932.42,5233303.62,0,0
54,187,CASH_OUT,110705.18,C1852881373,0.0,0.0,C1327872148,742900.75,853605.92,0,0
55,18,CASH_OUT,115782.27,C672524220,9288.0,0.0,C921010833,7015.71,170280.11,0,0
56,327,CASH_OUT,242472.68,C806825920,0.0,0.0,C974911381,663056.93,905529.61,0,0
57,180,CASH_OUT,106410.66,C1094503486,0.0,0.0,C724920703,179430.3,285840.95,0,0
58,380,CASH_OUT,137422.2,C621922109,40051.0,0.0,C1845446422,24346.29,161768.5,0,0
59,528,CASH_OUT,125900.38,C42738477,0.0,0.0,C514701295,1038221.38,1164121.76,0,0
60,250,TRANSFER,286902.73,C636086047,0.0,0.0,C2034088711,4359496.4,4646399.13,0,0
61,164,CASH_OUT,96420.31,C1271387635,64508.0,0.0,C196394814,4059139.84,4155560.15,0,0
62,140,CASH_OUT,123216.47,C715313698,18945.0,0.0,C1327436911,184894.83,308111.29,0,0
63,133,TRANSFER,33321.83,C1886961682,0.0,0.0,C1251334594,1093196.2,1126518.03,0,0
64,180,CASH_OUT,206221.91,C2063532907,10558.0,0.0,C118595268,155683.63,361905.54,0,0
65,136,CASH_OUT,140210.42,C1326666391,30448.0,0.0,C1174536648,0.0,140210.42,0,0
66,155,CASH_OUT,111801.62,C76478920,105948.0,0.0,C111702318,223631.12,335432.74,0,0
67,20,CASH_OUT,48722.21,C2145056125,0.0,0.0,C1780797498,821150.71,869872.92,0,0
68,201,CASH_OUT,27166.03,C1905508471,67614.93,40448.9,C1708387046,389248.83,416414.86,0,0
69,259,CASH_OUT,278679.3,C1894176943,0.0,0.0,C1638227218,432555.69,711234.99,0,0
70,330,CASH_OUT,464047.95,C864806400,0.0,0.0,C1459700758,602995.11,1067043.06,0,0
71,373,CASH_OUT,644711.46,C1125730117,21209.0,0.0,C470749861,2356409.5,3001120.96,0,0
72,309,TRANSFER,160377.61,C1711254668,15805.0,0.0,C824329900,282192.53,442570.14,0,0
73,349,TRANSFER,69023.89,C1689202316,0.0,0.0,C2115731111,225774.25,294798.14,0,0
74,159,CASH_OUT,4416.23,C72523116,0.0,0.0,C240203404,832674.97,906669.92,0,0
75,574,TRANSFER,131121.43,C538658293,0.0,0.0,C1526800130,4799932.35,4931053.77,0,0
76,233,CASH_OUT,5483.79,C457198412,10452.0,4968.21,C1602272671,269700.43,275184.22,0,0
77,162,CASH_OUT,136245.61,C558166061,0.0,0.0,C462306299,240469.96,376715.56,0,0
78,599,TRANSFER,242413.85,C1424851958,0.0,0.0,C315528477,370572.5,612986.34,0,0
79,307,CASH_OUT,49282.76,C1051594786,106204.0,56921.24,C157124540,1515386.47,1564669.22,0,0
80,164,CASH_OUT,41295.51,C1440286108,9902.0,0.0,C784710502,2991018.78,3032314.29,0,0
81,250,TRANSFER,1407247.89,C1606843410,0.0,0.0,C214033895,3448479.74,4855727.63,0,0
82,297,CASH_OUT,139590.5,C1219962130,0.0,0.0,C951405831,430472.01,570062.52,0,0
83,16,CASH_OUT,162389.1,C1903663233,10307.0,0.0,C1283526185,78813.3,223601.17,0,0
84,401,TRANSFER,79578.41,C1069218468,29904.0,0.0,C1205489322,51639.29,131217.7,0,0
85,141,TRANSFER,252061.85,C277113952,0.0,0.0,C1409077585,2738979.82,2991041.67,0,0
86,404,CASH_OUT,71200.01,C17364607,139.0,0.0,C1862244823,2793195.09,2864395.1,0,0
87,13,CASH_OUT,401975.55,C1604761611,0.0,0.0,C1615804266,8243800.31,8335388.88,0,0
88,328,TRANSFER,10000000.0,C1268775991,11040.0,0.0,C1129334984,34264.27,10837194.4,0,0
89,308,CASH_OUT,211130.58,C1423056865,0.0,0.0,C715793792,524688.33,735818.91,0,0
90,259,CASH_OUT,130642.8,C695499146,0.0,0.0,C840630839,3066363.45,3197006.25,0,0
91,276,TRANSFER,473560.25,C1620206396,0.0,0.0,C138029947,825801.7,1299361.95,0,0
92,132,CASH_OUT,156805.9,C1809738803,11283.0,0.0,C5214019,0.0,156805.9,0,0
93,177,CASH_OUT,2528.73,C96760809,0.0,0.0,C1854255162,108914.85,111443.58,0,0
94,43,TRANSFER,702400.54,C144663558,0.0,0.0,C250987587,7504468.99,8206869.52,0,0
95,165,CASH_OUT,207365.83,C1353378181,30436.0,0.0,C62841547,87407.27,294773.1,0,0
96,209,CASH_OUT,321291.84,C510447860,0.0,0.0,C1029571381,3908592.69,4229884.54,0,0
97,301,CASH_OUT,187172.85,C1802584688,0.0,0.0,C800453722,1150407.44,1337580.28,0,0
98,252,CASH_OUT,273399.2,C1466186166,0.0,0.0,C419444235,1881268.71,2154667.91,0,0
99,348,CASH_OUT,389593.68,C841113670,168.0,0.0,C99188987,205670.9,595264.58,0,0
100,566,CASH_OUT,39956.17,C703415063,3025.0,0.0,C716577010,0.0,39956.17,0,0
101,188,CASH_OUT,111765.85,C1582401974,0.0,0.0,C2109585256,323933.47,435699.32,0,0
102,373,CASH_OUT,210397.16,C286206228,0.0,0.0,C204187449,7266882.72,7477279.88,0,0
103,563,TRANSFER,111785.86,C954693600,0.0,0.0,C118588376,277404.69,389190.55,0,0
104,354,TRANSFER,2569103.94,C1004490716,360998.44,0.0,C1764629338,3724179.06,6293283.01,0,0
105,18,CASH_OUT,264690.96,C1779735191,0.0,0.0,C218675003,270321.77,535012.73,0,0
106,332,CASH_OUT,133171.15,C2027358940,449403.24,316232.08,C132807898,138282.41,271453.57,0,0
107,180,CASH_OUT,290630.17,C1100974852,28591.0,0.0,C1019449674,2967807.31,3258437.48,0,0
108,259,CASH_OUT,60395.4,C916842301,0.0,0.0,C658702590,2809053.99,3099429.4,0,0
109,329,CASH_OUT,87893.86,C535854096,14046.0,0.0,C85839185,2275351.82,2363245.68,0,0
110,253,CASH_OUT,65533.16,C505248681,0.0,0.0,C2102767053,448090.8,513623.96,0,0
111,38,TRANSFER,1123951.97,C2054884915,331027.0,0.0,C347696158,26600183.48,27724135.45,0,0
112,284,CASH_OUT,192473.01,C2128266437,20238.0,0.0,C656607576,4713194.26,4905667.26,0,0
113,187,CASH_OUT,4592.37,C676504301,4353.0,0.0,C126622763,114959.05,119551.42,0,0
114,495,TRANSFER,4978859.81,C204148533,0.0,0.0,C983855415,8913139.12,13891998.92,0,0
115,229,CASH_OUT,534366.32,C491308884,50162.0,0.0,C1232520529,68902.9,603269.21,0,0
116,380,CASH_OUT,177242.27,C1845823971,27.0,0.0,C1529091634,800567.85,977810.12,0,0
117,42,CASH_OUT,29094.17,C276835228,20591.0,0.0,C1896177820,6996188.2,7359791.15,0,0
118,154,CASH_OUT,75004.57,C679509507,0.0,0.0,C145827906,390509.55,465514.12,0,0
119,255,CASH_OUT,276554.54,C2078075248,73788.0,0.0,C1458165183,191956.38,468510.91,0,0
120,299,CASH_OUT,35486.54,C629106941,186.0,0.0,C1067611025,335859.35,371345.89,0,0
121,227,CASH_OUT,68094.72,C250889395,0.0,0.0,C230042703,12880623.78,12948718.49,0,0
122,374,TRANSFER,40697.7,C1062921582,22171.0,0.0,C309293069,349998.55,390696.25,0,0
123,34,CASH_OUT,74779.02,C2129826534,0.0,0.0,C1552118274,358321.48,433100.5,0,0
124,203,CASH_OUT,223987.94,C1094628647,0.0,0.0,C466091333,7543570.46,8221832.82,0,0
125,129,CASH_OUT,256181.87,C2093880049,24817.0,0.0,C413659128,1200865.52,1457047.4,0,0
126,8,CASH_OUT,154258.22,C2145317142,0.0,0.0,C956986674,498813.39,1494748.17,0,0
127,14,CASH_OUT,150230.39,C2030599554,0.0,0.0,C1964449149,506295.17,656525.56,0,0
128,14,CASH_OUT,186638.27,C441398341,96851.0,0.0,C1774419266,282900.32,720681.89,0,0
129,159,CASH_OUT,341110.81,C822307344,51842.0,0.0,C664463841,242171.19,583282.01,0,0
130,18,TRANSFER,2304.22,C1315143936,79656.0,77351.78,C522467118,91285.0,119223.84,0,0
131,138,CASH_OUT,282325.65,C2026960610,51525.0,0.0,C415033822,1295716.47,1578042.12,0,0
132,225,CASH_OUT,120199.75,C1346464797,0.0,0.0,C150188936,347645.68,467845.43,0,0
133,188,CASH_OUT,25967.88,C609323559,0.0,0.0,C509491574,110623.02,136590.91,0,0
134,42,CASH_OUT,24754.29,C204448879,0.0,0.0,C1773319555,1473423.85,1498178.13,0,0
135,183,CASH_OUT,3114.5,C1792646166,59860.0,56745.5,C638495874,190794.49,193908.99,0,0
136,22,CASH_OUT,72867.15,C2059383075,0.0,0.0,C495324479,100764.5,173631.65,0,0
137,302,CASH_OUT,182011.22,C1917243984,3733.0,0.0,C849849409,2326314.47,2508325.68,0,0
138,253,TRANSFER,836402.74,C875760973,349606.0,0.0,C1351566968,0.0,836402.74,0,0
139,399,CASH_OUT,96905.78,C882963386,0.0,0.0,C1085910609,811611.4,908517.18,0,0
140,283,CASH_OUT,106399.04,C1722591621,0.0,0.0,C1891925666,1518077.86,1624476.9,0,0
141,163,CASH_OUT,141745.47,C1514176797,61767.0,0.0,C1178949826,0.0,141745.47,0,0
142,304,CASH_OUT,211124.81,C1360804717,0.0,0.0,C1228733841,1608284.65,1819409.46,0,0
143,251,CASH_OUT,129922.46,C187386097,105421.0,0.0,C968897593,4022397.41,4152319.87,0,0
144,371,CASH_OUT,322695.04,C1608927887,137854.0,0.0,C775380611,0.0,322695.04,0,0
145,403,CASH_OUT,206256.74,C2109843631,0.0,0.0,C389365537,1112800.29,1319057.03,0,0
146,209,CASH_OUT,466575.28,C601671381,0.0,0.0,C1260562796,3513697.41,3980272.69,0,0
147,159,CASH_OUT,127701.11,C2015287643,0.0,0.0,C282599727,418026.89,545727.99,0,0
148,22,CASH_OUT,218080.62,C1435885105,0.0,0.0,C1859015091,425187.75,643268.37,0,0
149,260,TRANSFER,229187.95,C1831018092,11360.0,0.0,C1666660070,0.0,229187.95,0,0
150,42,CASH_OUT,17165.96,C1488201790,204879.0,187713.04,C781181997,146691.54,163857.51,0,0
151,18,CASH_OUT,152382.75,C1720074703,279460.51,127077.76,C913422378,4120297.61,4458515.52,0,0
152,41,CASH_OUT,139860.61,C318073494,0.0,0.0,C1316886622,608114.18,747974.78,0,0
153,325,CASH_OUT,168560.14,C1422966742,0.0,0.0,C1077626522,1075728.46,1244288.6,0,0
154,251,CASH_OUT,35686.21,C295506817,0.0,0.0,C245708052,53802.69,89488.91,0,0
155,592,CASH_OUT,136246.75,C139541867,14122.0,0.0,C1539772053,405124.24,541370.99,0,0
156,138,TRANSFER,216962.91,C1630255370,77569.47,0.0,C113611433,1236138.76,1453101.67,0,0
157,207,CASH_OUT,196504.34,C2025095437,12918.0,0.0,C136291440,198248.47,394752.8,0,0
158,17,TRANSFER,44979.85,C279488552,43800.0,0.0,C1746886338,0.0,44979.85,0,0
159,301,CASH_OUT,142801.25,C1551070134,0.0,0.0,C503566584,440220.73,583021.98,0,0
160,354,CASH_OUT,207972.37,C2073237295,0.0,0.0,C1732097070,530768.95,738741.32,0,0
161,11,CASH_OUT,231414.76,C1917687211,0.0,0.0,C1469889905,470116.29,701531.05,0,0
162,17,CASH_OUT,52501.48,C1513506414,720.0,0.0,C653915318,22397.15,301986.12,0,0
163,283,TRANSFER,376197.07,C830372768,10285.0,0.0,C1486240719,4565234.35,4941431.42,0,0
164,370,CASH_OUT,28449.04,C1291063714,0.0,0.0,C1560936805,1364044.05,1392493.09,0,0
165,232,CASH_OUT,226864.59,C510210845,5802.0,0.0,C1166561494,1223959.38,1450823.97,0,0
166,186,TRANSFER,640506.78,C284059398,0.0,0.0,C775431326,7971850.46,8612357.24,0,0
167,20,TRANSFER,297453.4,C586208671,0.0,0.0,C720023548,410808.8,1093271.12,0,0
168,17,CASH_OUT,264098.56,C2083805878,270204.0,6105.44,C1351545543,51181.0,189163.14,0,0
169,328,CASH_OUT,93961.43,C1935015286,0.0,0.0,C396632382,197221.55,291182.98,0,0
170,332,CASH_OUT,63816.9,C1935127864,0.0,0.0,C2147026661,105129.17,168946.07,0,0
171,19,CASH_OUT,35366.06,C183323459,0.0,0.0,C1851336450,917844.49,1078452.47,0,0
172,285,CASH_OUT,208961.17,C39079124,0.0,0.0,C1597304494,4067112.54,4276073.71,0,0
173,16,CASH_OUT,219065.24,C1565625704,137.0,0.0,C41333701,31683.0,0.0,0,0
174,188,CASH_OUT,210950.95,C2036341592,0.0,0.0,C78663667,6754486.46,6965437.4,0,0
175,398,CASH_OUT,175431.99,C357413813,56.0,0.0,C1570222704,3534670.62,3710102.62,0,0
176,20,CASH_OUT,168323.58,C771450425,14945.91,0.0,C1990348608,547277.23,715600.81,0,0
177,352,CASH_OUT,79255.81,C793060911,9006.0,0.0,C1036297669,4487922.06,4567177.88,0,0
178,18,CASH_OUT,171084.83,C1064719954,42118.0,0.0,C130197709,7147560.55,7100952.29,0,0
179,135,CASH_OUT,174662.2,C1800983558,0.0,0.0,C164068556,19597698.38,19584888.01,0,0
180,371,CASH_OUT,231711.04,C398663457,48818.0,0.0,C1312256268,1183735.9,1415446.95,0,0
181,251,TRANSFER,553638.7,C1983972354,22108.0,0.0,C1219044678,6322808.49,6876447.2,0,0
182,371,CASH_OUT,297753.07,C1126754315,53741.0,0.0,C1607007865,0.0,297753.07,0,0
183,237,CASH_OUT,513778.94,C1792964762,0.0,0.0,C1735641121,725425.41,1239204.35,0,0
184,404,CASH_OUT,23266.49,C793789385,0.0,0.0,C917043900,103877.38,127143.87,0,0
185,185,CASH_OUT,301740.23,C864132444,108798.0,0.0,C773699768,1129106.06,1430846.3,0,0
186,17,CASH_OUT,294384.79,C830563579,0.0,0.0,C2080773803,1122398.3,1323372.94,0,0
187,302,CASH_OUT,208538.91,C940215567,408.0,0.0,C1825146663,373291.9,581830.81,0,0
188,235,TRANSFER,151696.94,C731930429,288079.61,136382.67,C1384443496,244826.72,443642.97,0,0
189,132,TRANSFER,1324996.54,C483055489,0.0,0.0,C2007963097,7938328.29,9263324.83,0,0
190,230,CASH_OUT,169992.89,C989507217,0.0,0.0,C803061659,970796.49,1140789.38,0,0
191,183,CASH_OUT,314180.47,C1194052398,30045.0,0.0,C451873296,2230669.57,2544850.04,0,0
192,396,CASH_OUT,110636.23,C1514577753,0.0,0.0,C1097801620,302358.89,412995.12,0,0
193,42,CASH_OUT,41901.12,C1731431455,0.0,0.0,C43991642,894979.94,936881.06,0,0
194,13,CASH_OUT,354237.27,C1922185868,0.0,0.0,C138905202,1937765.77,2292003.03,0,0
195,257,CASH_OUT,103863.77,C1134029265,0.0,0.0,C1119249730,271360.66,375224.44,0,0
196,14,CASH_OUT,95705.19,C1661801795,30669.0,0.0,C667217101,594614.05,1274810.47,0,0
197,189,CASH_OUT,358266.1,C637540418,297321.0,0.0,C1727835183,79478.82,437744.93,0,0
198,256,CASH_OUT,345222.75,C1192189344,1972.0,0.0,C594910626,120341.29,465564.03,0,0
199,330,CASH_OUT,142054.23,C624423312,50591.0,0.0,C592214181,0.0,142054.23,0,0
200,11,CASH_OUT,319716.27,C653213181,14346.0,0.0,C1064204079,218676.69,560299.12,0,0
201,322,CASH_OUT,263734.72,C1881769008,0.0,0.0,C194841748,486873.46,625016.11,0,0
202,135,CASH_OUT,297820.83,C1879545340,178112.0,0.0,C2075349402,328.0,298148.83,0,0
203,375,CASH_OUT,133935.65,C410422672,198.0,0.0,C2116441628,370254.39,504190.04,0,0
204,257,CASH_OUT,13641.53,C226483238,0.0,0.0,C149934231,1114986.51,1128628.04,0,0
205,211,CASH_OUT,204422.74,C764150343,0.0,0.0,C1732837691,3489550.29,3693973.04,0,0
206,191,TRANSFER,150164.48,C1240075380,0.0,0.0,C378590917,5217923.65,5368088.13,0,0
207,256,CASH_OUT,168523.7,C1845866601,0.0,0.0,C427536404,203165.53,371689.23,0,0
208,307,CASH_OUT,409175.14,C626736356,0.0,0.0,C420515115,2904993.72,3103575.54,0,0
209,139,CASH_OUT,60725.38,C1106248733,0.0,0.0,C385634937,852596.24,913321.62,0,0
210,12,CASH_OUT,80920.89,C1943468772,302282.0,221361.11,C1171018055,378916.77,244967.04,0,0
211,13,TRANSFER,1576987.15,C902767624,173.0,0.0,C1185428321,165788.0,1742775.15,0,0
212,201,CASH_OUT,353114.91,C859140148,653.0,0.0,C1132597983,0.0,353114.91,0,0
213,183,CASH_OUT,137862.51,C365075918,236283.88,98421.37,C2009966403,4340646.88,4478509.39,0,0
214,34,CASH_OUT,181018.07,C1165696254,6180.0,0.0,C539298859,871947.31,1052965.38,0,0
215,186,TRANSFER,482953.7,C1439617603,0.0,0.0,C1925415922,1654720.89,2137674.59,0,0
216,40,CASH_OUT,306685.09,C402188084,87.0,0.0,C1792241184,0.0,306685.09,0,0
217,138,CASH_OUT,134728.59,C1085450531,0.0,0.0,C1537376083,158468.26,318176.68,0,0
218,487,TRANSFER,352830.37,C2073202225,5398.0,0.0,C1816128700,203661.51,556491.88,0,0
219,299,CASH_OUT,13141.93,C1009752844,30327.0,17185.07,C1083308373,2170079.93,2183221.86,0,0
220,136,CASH_OUT,219121.02,C1269126376,102068.0,0.0,C814814042,46592.51,265713.52,0,0
221,185,CASH_OUT,90793.44,C912887332,0.0,0.0,C630231922,463118.44,553911.87,0,0
222,205,CASH_OUT,181011.47,C1845114559,48537.0,0.0,C1617857536,344209.0,525220.48,0,0
223,136,CASH_OUT,323126.75,C1762860488,0.0,0.0,C638342484,1930181.85,2253308.6,0,0
224,212,CASH_OUT,110850.11,C846469671,22634.0,0.0,C1812322259,245508.75,356358.86,0,0
225,225,TRANSFER,6234902.21,C2002076345,0.0,0.0,C698127433,8034407.74,14269309.95,0,0
226,131,CASH_OUT,132091.7,C2053071756,0.0,0.0,C88318033,212425.46,344517.16,0,0
227,322,CASH_OUT,70380.52,C323762294,0.0,0.0,C1771394680,179338.78,249719.3,0,0
228,251,CASH_OUT,27671.57,C450660277,0.0,0.0,C569247786,556979.53,584651.1,0,0
229,590,CASH_OUT,335972.26,C1117903012,106075.0,0.0,C341433674,27896.3,363868.56,0,0
230,212,CASH_OUT,50026.21,C1115727671,279240.0,229213.79,C1784577701,8970747.77,9020773.97,0,0
231,11,CASH_OUT,196683.68,C1499594803,442733.0,246049.32,C1036610014,0.0,330895.95,0,0
232,164,TRANSFER,1115892.58,C91629539,52136.0,0.0,C676012860,10580.88,1126473.46,0,0
233,132,CASH_OUT,9325.23,C244059309,0.0,0.0,C1278774895,998913.16,1008238.39,0,0
234,12,TRANSFER,491177.11,C722966935,0.0,0.0,C1966562224,7262413.14,8062435.52,0,0
235,401,TRANSFER,1939569.24,C300322821,0.0,0.0,C2097158360,4303564.8,6243134.04,0,0
236,14,CASH_OUT,255857.35,C1477932956,59751.0,0.0,C1148052483,4055565.18,4559652.11,0,0
237,332,CASH_OUT,61767.62,C2005929129,0.0,0.0,C377480717,3742722.73,3804490.35,0,0
238,239,CASH_OUT,351097.05,C1365266869,0.0,0.0,C1538318071,471486.75,822583.8,0,0
239,331,CASH_OUT,150891.75,C1116002998,8015.0,0.0,C350703793,0.0,187829.92,0,0
240,227,CASH_OUT,153086.78,C205404134,106029.87,0.0,C1200340953,517331.57,670418.34,0,0
241,330,CASH_OUT,90144.47,C399998391,24.0,0.0,C486773903,1218273.1,1308417.57,0,0
242,186,CASH_OUT,281229.17,C1938587668,0.0,0.0,C598004084,753510.24,1034739.41,0,0
243,254,CASH_OUT,102628.01,C470418993,1000.0,0.0,C859283636,220955.27,323583.28,0,0
244,9,CASH_OUT,199229.48,C231209829,0.0,0.0,C1872129696,224843.31,70473.08,0,0
245,43,CASH_OUT,122172.56,C604729256,20430.0,0.0,C109334864,200572.97,322745.53,0,0
246,277,CASH_OUT,17411.53,C693381756,0.0,0.0,C465311830,3086665.52,3104077.05,0,0
247,234,TRANSFER,33535.11,C1974748081,0.0,0.0,C24602888,2222048.64,2255583.75,0,0
248,302,CASH_OUT,179394.45,C256895894,146861.0,0.0,C212096791,705829.58,885224.03,0,0
249,280,TRANSFER,331460.47,C2145716671,31067.0,0.0,C1684442514,0.0,331460.47,0,0
250,329,CASH_OUT,224240.66,C1140822380,0.0,0.0,C98905355,2854199.44,3078440.09,0,0
251,369,CASH_OUT,168806.64,C1592467736,26997.0,0.0,C1579405130,17422.36,186229.0,0,0
252,399,CASH_OUT,80706.07,C1873153797,145858.0,65151.93,C1698422206,0.0,80706.07,0,0
253,375,CASH_OUT,273365.24,C1814247555,0.0,0.0,C479082961,7651777.83,7925143.07,0,0
254,546,CASH_OUT,32583.44,C1469359438,0.0,0.0,C453040386,5461213.93,5493797.37,0,0
255,204,TRANSFER,549669.72,C1008978190,6563.0,0.0,C2044555347,0.0,549669.72,0,0
256,138,CASH_OUT,251010.24,C1131192094,0.0,0.0,C857808046,859184.45,1110194.69,0,0
257,276,CASH_OUT,283982.74,C584494204,0.0,0.0,C75708638,308853.5,592836.25,0,0
258,142,CASH_OUT,182868.85,C1314315895,0.0,0.0,C2034996267,1096630.3,1279499.15,0,0
259,134,CASH_OUT,4040.41,C848500290,0.0,0.0,C1337376199,5229.14,9269.56,0,0
260,378,CASH_OUT,75349.29,C875706832,0.0,0.0,C1042810225,302684.23,378033.52,0,0
261,132,CASH_OUT,579392.72,C1994451167,21277.0,0.0,C855799113,4444879.85,5024272.57,0,0
262,37,CASH_OUT,106622.33,C1147691617,195.0,0.0,C978839804,51188.51,157810.84,0,0
263,213,TRANSFER,489380.67,C750355425,50590.0,0.0,C932024311,0.0,489380.67,0,0
264,161,CASH_OUT,170841.66,C1864688991,27116.0,0.0,C2131983827,674321.49,845163.15,0,0
265,235,CASH_OUT,61187.94,C1931596527,79786.0,18598.06,C427609630,972594.47,1033782.41,0,0
266,131,CASH_OUT,81510.16,C1450494904,21365.0,0.0,C1761260133,1762506.73,2248509.65,0,0
267,188,CASH_OUT,154745.79,C1597456292,0.0,0.0,C1633577654,665026.22,819772.01,0,0
268,283,TRANSFER,354363.22,C1745896008,0.0,0.0,C481988964,610647.15,965010.36,0,0
269,44,TRANSFER,352835.81,C1334575491,0.0,0.0,C1202310614,879797.24,1232633.05,0,0
270,142,CASH_OUT,144855.91,C873380284,0.0,0.0,C54952772,298264.29,443120.2,0,0
